lugar,fecha,latitud,longitud,profundidad,magnitud
28 km al NE de Canela Baja,2022-05-03 21:38:57,-31.162,-71.348,87 km,2.9 Ml
35 km al SO de Cuya,2022-05-03 18:07:48,-19.335,-70.457,56 km,4.0 Ml
45 km al NE de Calama,2022-05-03 17:27:44,-22.152,-68.665,113 km,3.6 Ml
21 km al NO de Quillagua,2022-05-03 17:19:47,-21.52,-69.67,18 km,3.1 Ml
44 km al NO de ValparaÃ­so,2022-05-03 16:58:54,-32.678,-71.792,29 km,2.7 Ml
64 km al SO de Tierra Amarilla,2022-05-03 16:54:16,-27.939,-70.662,71 km,2.9 Ml
53 km al NE de Socaire,2022-05-03 16:49:45,-23.34,-67.451,262 km,2.7 Ml
55 km al NE de Socaire,2022-05-03 16:36:02,-23.383,-67.395,246 km,3.0 Ml
47 km al SO de Mina Collahuasi,2022-05-03 15:02:54,-21.146,-68.96,107 km,3.0 Ml
34 km al NO de Mina Collahuasi,2022-05-03 14:42:59,-20.568,-68.828,103 km,2.5 Ml
114 km al E de Socaire,2022-05-03 13:20:41,-23.851,-66.807,222 km,3.9 Ml
11 km al N de Colina,2022-05-03 13:18:40,-33.111,-70.648,93 km,3.0 Ml
64 km al SO de Pica,2022-05-03 12:21:20,-21.002,-69.621,52 km,3.1 Ml
7 km al NO de Punitaqui,2022-05-03 09:50:04,-30.787,-71.311,56 km,4.2 Ml
46 km al NE de Calama,2022-05-03 08:31:35,-22.212,-68.586,111 km,3.0 Ml
104 km al SO de Alto Hospicio,2022-05-03 06:54:02,-21.071,-70.609,45 km,3.1 Ml
42 km al NE de Pica,2022-05-03 06:19:28,-20.214,-69.056,97 km,3.0 Ml
69 km al SO de OllagÃ¼e,2022-05-03 05:08:00,-21.798,-68.502,139 km,2.5 Ml
62 km al NO de Lebu,2022-05-03 04:56:03,-37.203,-74.136,30 km,3.4 Ml
37 km al O de ValparaÃ­so,2022-05-03 04:31:47,-32.994,-72.002,33 km,2.9 Ml
49 km al E de Calama,2022-05-03 04:02:50,-22.331,-68.477,164 km,3.1 Ml
76 km al SE de Socaire,2022-05-03 03:57:35,-24.109,-67.407,208 km,3.4 Ml
38 km al O de ValparaÃ­so,2022-05-03 03:55:15,-32.983,-72.017,29 km,2.5 Ml
38 km al SO de OllagÃ¼e,2022-05-03 00:50:05,-21.509,-68.456,116 km,3.2 Ml
