evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
38 km al SO de Mina Collahuasi,-21.089 ,-68.894,2023-02-27,20:47:43,2023-02-27,23:47:43,118,km,4.2,Ml
13 km al SO de San Antonio,-33.688 ,-71.674,2023-02-27,18:29:34,2023-02-27,21:29:34,47,km,2.9,Ml
78 km al S de Socaire,-24.264 ,-67.674,2023-02-27,18:19:11,2023-02-27,21:19:11,214,km,3.7,Ml
78 km al N de Calama,-21.794 ,-68.741,2023-02-27,17:52:36,2023-02-27,20:52:36,131,km,4.7,Ml
38 km al O de Mina Collahuasi,-20.720 ,-69.002,2023-02-27,15:22:38,2023-02-27,18:22:38,94,km,2.6,Ml
32 km al N de Calama,-22.182 ,-68.926,2023-02-27,14:04:49,2023-02-27,17:04:49,122,km,2.8,Ml
56 km al S de Diego de Almagro,-26.876 ,-70.196,2023-02-27,11:08:24,2023-02-27,14:08:24,80,km,4.5,Mw
18 km al N de Tongoy,-30.099 ,-71.435,2023-02-27,10:16:48,2023-02-27,13:16:48,36,km,3.1,Ml
10 km al E de Calama,-22.507 ,-68.840,2023-02-27,09:53:26,2023-02-27,12:53:26,103,km,4.3,Mw
31 km al O de ConcepciÃ³n,-36.884 ,-73.395,2023-02-27,09:26:04,2023-02-27,12:26:04,20,km,2.8,Ml
48 km al SO de Mina Collahuasi,-21.145 ,-68.967,2023-02-27,08:13:04,2023-02-27,11:13:04,112,km,2.5,Ml
160 km al O de TirÃºa,-38.911 ,-75.190,2023-02-27,07:00:34,2023-02-27,10:00:34,23,km,2.8,Ml
79 km al SE de Socaire,-24.240 ,-67.567,2023-02-27,03:55:18,2023-02-27,06:55:18,220,km,3.0,Ml
67 km al SE de Socaire,-23.997 ,-67.404,2023-02-27,01:58:01,2023-02-27,04:58:01,256,km,3.4,Ml
26 km al E de CuricÃ³,-35.023 ,-70.963,2023-02-26,22:16:40,2023-02-27,01:16:40,105,km,3.6,Ml
