evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
97 km al NE de Socaire,-23.039 ,-67.152,2023-02-22,20:50:48,2023-02-22,23:50:48,241,km,3.2,Ml
40 km al N de Cobquecura,-35.780 ,-72.906,2023-02-22,20:03:58,2023-02-22,23:03:58,15,km,2.7,Ml
43 km al NO de Cobquecura,-35.772 ,-72.973,2023-02-22,19:51:53,2023-02-22,22:51:53,13,km,2.8,Ml
43 km al NO de Cobquecura,-35.765 ,-72.951,2023-02-22,17:14:31,2023-02-22,20:14:31,15,km,3.4,Ml
50 km al NO de Cobquecura,-35.732 ,-73.035,2023-02-22,15:18:25,2023-02-22,18:18:25,23,km,4.0,Ml
66 km al O de Tongoy,-30.165 ,-72.175,2023-02-22,15:08:10,2023-02-22,18:08:10,39,km,2.8,Ml
68 km al O de Cobquecura,-35.880 ,-73.481,2023-02-22,15:03:10,2023-02-22,18:03:10,20,km,3.1,Ml
43 km al NO de Cobquecura,-35.779 ,-72.980,2023-02-22,14:56:58,2023-02-22,17:56:58,25,km,3.2,Ml
56 km al NO de Cobquecura,-35.690 ,-73.090,2023-02-22,14:47:55,2023-02-22,17:47:55,18,km,4.0,Ml
38 km al SE de Antofagasta,-23.814 ,-70.086,2023-02-22,13:34:25,2023-02-22,16:34:25,65,km,3.2,Ml
72 km al O de Tongoy,-30.149 ,-72.229,2023-02-22,12:51:41,2023-02-22,15:51:41,34,km,4.0,Ml
37 km al O de Mina Collahuasi,-20.908 ,-68.998,2023-02-22,12:18:04,2023-02-22,15:18:04,111,km,4.2,Mw
31 km al SO de OllagÃ¼e,-21.460 ,-68.408,2023-02-22,12:11:17,2023-02-22,15:11:17,128,km,3.0,Ml
36 km al SE de Mina La Escondida.,-24.561 ,-68.892,2023-02-22,11:15:15,2023-02-22,14:15:15,106,km,2.7,Ml
38 km al SO de Canela Baja,-31.554 ,-71.811,2023-02-22,10:41:53,2023-02-22,13:41:53,31,km,3.1,Ml
88 km al SE de Socaire,-24.002 ,-67.153,2023-02-22,10:31:00,2023-02-22,13:31:00,235,km,4.2,Mw
61 km al SE de Colchane.,-19.734 ,-68.317,2023-02-22,10:05:35,2023-02-22,13:05:35,181,km,2.8,Ml
41 km al O de ChillÃ¡n,-36.683 ,-72.551,2023-02-22,06:36:03,2023-02-22,09:36:03,43,km,2.8,Ml
48 km al O de OllagÃ¼e,-21.360 ,-68.695,2023-02-22,06:06:42,2023-02-22,09:06:42,120,km,3.3,Ml
24 km al S de Putre,-18.408 ,-69.518,2023-02-22,05:52:50,2023-02-22,08:52:50,98,km,2.8,Ml
76 km al NE de Socaire,-23.155 ,-67.321,2023-02-22,03:57:49,2023-02-22,06:57:49,265,km,3.6,Ml
54 km al SO de TirÃºa,-38.593 ,-74.030,2023-02-22,03:04:24,2023-02-22,06:04:24,34,km,3.0,Ml
79 km al SO de San Pedro de Atacama,-23.460 ,-68.697,2023-02-22,02:13:51,2023-02-22,05:13:51,110,km,2.6,Ml
22 km al NO de Putre,-18.050 ,-69.706,2023-02-22,01:39:36,2023-02-22,04:39:36,117,km,3.8,Ml
52 km al SO de Mina Collahuasi,-21.237 ,-68.906,2023-02-22,01:17:42,2023-02-22,04:17:42,119,km,3.4,Ml
37 km al SO de TirÃºa,-38.540 ,-73.831,2023-02-21,23:53:48,2023-02-22,02:53:48,22,km,2.8,Ml
30 km al O de Calama,-22.404 ,-69.209,2023-02-21,23:29:19,2023-02-22,02:29:19,110,km,2.8,Ml
