evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
19 km al SE de Los Andes.,-32.921 ,-70.424,2023-02-20,20:45:02,2023-02-20,23:45:02,104,km,3.8,Ml
63 km al NE de Los Andes.,-32.528 ,-70.032,2023-02-20,18:47:45,2023-02-20,21:47:45,117,km,2.6,Ml
39 km al SO de OllagÃ¼e,-21.502 ,-68.479,2023-02-20,18:27:54,2023-02-20,21:27:54,135,km,3.2,Ml
38 km al S de Los Vilos,-32.236 ,-71.638,2023-02-20,18:22:14,2023-02-20,21:22:14,50,km,3.0,Ml
35 km al SO de OllagÃ¼e,-21.518 ,-68.385,2023-02-20,14:03:43,2023-02-20,17:03:43,154,km,3.2,Ml
18 km al SE de Calama,-22.588 ,-68.809,2023-02-20,12:29:58,2023-02-20,15:29:58,118,km,2.5,Ml
139 km al O de ConcepciÃ³n,-36.328 ,-74.481,2023-02-20,11:14:31,2023-02-20,14:14:31,30,km,3.1,Ml
63 km al SE de Sierra Gorda.,-23.432 ,-69.095,2023-02-20,11:13:12,2023-02-20,14:13:12,91,km,3.9,Ml
186 km al NO de Cobquecura,-35.196 ,-74.494,2023-02-20,07:24:29,2023-02-20,10:24:29,10,km,3.2,Ml
67 km al S de OllagÃ¼e,-21.786 ,-68.479,2023-02-20,07:04:00,2023-02-20,10:04:00,131,km,2.9,Ml
131 km al NO de Taltal,-24.677 ,-71.501,2023-02-20,05:46:01,2023-02-20,08:46:01,194,km,3.6,Ml
40 km al NO de La Higuera,-29.197 ,-71.409,2023-02-20,03:34:30,2023-02-20,06:34:30,46,km,2.7,Ml
29 km al O de OllagÃ¼e,-21.167 ,-68.530,2023-02-20,03:02:09,2023-02-20,06:02:09,127,km,3.4,Ml
64 km al SO de Mina Collahuasi,-21.342 ,-68.922,2023-02-20,02:55:38,2023-02-20,05:55:38,88,km,3.0,Ml
23 km al NE de VichuquÃ©n,-34.748 ,-71.798,2023-02-20,01:57:17,2023-02-20,04:57:17,47,km,3.4,Ml
35 km al S de Calama,-22.783 ,-68.875,2023-02-19,23:41:33,2023-02-20,02:41:33,120,km,2.8,Ml
78 km al SE de Socaire,-23.940 ,-67.223,2023-02-19,22:09:47,2023-02-20,01:09:47,207,km,3.6,Ml
