evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
24 km al NO de Punitaqui,-30.702 ,-71.464,2022-10-31,20:47:40,2022-10-31,23:47:40,28,km,3.8,Ml
58 km al NE de Calama,-22.053 ,-68.585,2022-10-31,17:31:45,2022-10-31,20:31:45,129,km,2.5,Ml
29 km al N de Huasco,-28.211 ,-71.162,2022-10-31,16:36:05,2022-10-31,19:36:05,35,km,3.5,Ml
16 km al O de Huasco,-28.430 ,-71.375,2022-10-31,15:28:32,2022-10-31,18:28:32,55,km,3.2,Ml
30 km al SO de Pichilemu,-34.623 ,-72.176,2022-10-31,14:14:51,2022-10-31,17:14:51,24,km,2.6,Ml
79 km al S de Alto Hospicio,-20.969 ,-69.983,2022-10-31,10:58:59,2022-10-31,13:58:59,27,km,2.7,Ml
18 km al E de Monte Patria,-30.729 ,-70.771,2022-10-31,10:16:43,2022-10-31,13:16:43,66,km,3.3,Ml
46 km al SE de Antofagasta,-23.993 ,-70.159,2022-10-31,09:24:50,2022-10-31,12:24:50,54,km,2.6,Ml
36 km al NE de Pica,-20.199 ,-69.179,2022-10-31,07:14:30,2022-10-31,10:14:30,90,km,3.1,Ml
71 km al S de Socaire,-24.199 ,-67.683,2022-10-31,05:51:12,2022-10-31,08:51:12,231,km,4.1,Ml
1608 km al O de BahÃ­a Mansa,-38.607 ,-92.357,2022-10-31,05:14:29,2022-10-31,08:14:29,10,km,5.7,Mwp
68 km al N de Huasco,-27.872 ,-71.368,2022-10-31,02:24:38,2022-10-31,05:24:38,36,km,2.7,Ml
57 km al SO de Puerto AysÃ©n,-45.883 ,-72.957,2022-10-31,02:23:49,2022-10-31,05:23:49,7,km,2.9,Ml
