evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
18 km al SO de Los Vilos,-32.040 ,-71.619,2022-10-02,20:50:33,2022-10-02,23:50:33,60,km,2.6,Ml
85 km al NE de Socaire,-23.083 ,-67.264,2022-10-02,19:45:25,2022-10-02,22:45:25,284,km,2.6,Ml
28 km al SE de Pica,-20.595 ,-69.084,2022-10-02,17:45:07,2022-10-02,20:45:07,108,km,2.9,Ml
66 km al N de Pica,-19.902 ,-69.243,2022-10-02,17:27:15,2022-10-02,20:27:15,91,km,2.5,Ml
73 km al SE de Socaire,-24.187 ,-67.584,2022-10-02,17:22:52,2022-10-02,20:22:52,229,km,3.3,Ml
42 km al N de Mejillones,-22.745 ,-70.579,2022-10-02,15:48:56,2022-10-02,18:48:56,16,km,3.2,Ml
56 km al O de San Pedro de Atacama,-23.020 ,-68.733,2022-10-02,15:17:46,2022-10-02,18:17:46,129,km,3.5,Ml
89 km al NE de Socaire,-23.157 ,-67.156,2022-10-02,12:53:04,2022-10-02,15:53:04,245,km,2.9,Ml
44 km al NO de Canela Baja,-31.039 ,-71.650,2022-10-02,12:52:03,2022-10-02,15:52:03,37,km,2.5,Ml
134 km al O de ValparaÃ­so,-32.871 ,-73.039,2022-10-02,12:47:52,2022-10-02,15:47:52,57,km,2.9,Ml
39 km al SO de Mina La Escondida.,-24.579 ,-69.233,2022-10-02,12:38:40,2022-10-02,15:38:40,90,km,2.6,Ml
65 km al E de Baquedano,-23.535 ,-69.245,2022-10-02,11:26:53,2022-10-02,14:26:53,107,km,2.8,Ml
57 km al S de Socaire,-24.099 ,-67.796,2022-10-02,11:11:41,2022-10-02,14:11:41,215,km,2.7,Ml
29 km al SE de Mina Collahuasi,-21.026 ,-68.471,2022-10-02,10:58:21,2022-10-02,13:58:21,131,km,2.6,Ml
36 km al SO de Mina Collahuasi,-21.108 ,-68.834,2022-10-02,10:47:50,2022-10-02,13:47:50,109,km,3.0,Ml
50 km al SE de Socaire,-23.959 ,-67.605,2022-10-02,08:33:40,2022-10-02,11:33:40,264,km,2.8,Ml
121 km al SE de Tierra Amarilla,-28.081 ,-69.234,2022-10-02,08:08:48,2022-10-02,11:08:48,109,km,3.4,Ml
31 km al S de Mina Collahuasi,-21.104 ,-68.652,2022-10-02,07:36:38,2022-10-02,10:36:38,130,km,3.9,Ml
13 km al SE de Pichilemu,-34.480 ,-71.928,2022-10-02,06:54:58,2022-10-02,09:54:58,16,km,2.6,Ml
30 km al E de Pica,-20.468 ,-69.042,2022-10-02,04:55:16,2022-10-02,07:55:16,117,km,2.9,Ml
41 km al SO de Los Vilos,-32.225 ,-71.738,2022-10-02,03:31:19,2022-10-02,06:31:19,30,km,3.2,Ml
33 km al E de Monte Patria,-30.653 ,-70.616,2022-10-02,03:19:57,2022-10-02,06:19:57,88,km,2.6,Ml
45 km al NO de Quillagua,-21.370 ,-69.837,2022-10-02,03:13:44,2022-10-02,06:13:44,48,km,2.7,Ml
76 km al S de Socaire,-24.242 ,-67.669,2022-10-02,01:12:47,2022-10-02,04:12:47,220,km,3.0,Ml
77 km al O de Canela Baja,-31.162 ,-72.215,2022-10-02,00:35:27,2022-10-02,03:35:27,48,km,3.2,Ml
41 km al SO de Los Vilos,-32.234 ,-71.713,2022-10-01,23:41:05,2022-10-02,02:41:05,31,km,3.0,Ml
129 km al O de Navidad,-33.536 ,-73.129,2022-10-01,23:36:55,2022-10-02,02:36:55,28,km,2.8,Ml
123 km al SE de Socaire,-24.046 ,-66.791,2022-10-01,23:28:58,2022-10-02,02:28:58,239,km,4.2,Ml
42 km al S de CamiÃ±a,-19.678 ,-69.543,2022-10-01,21:16:25,2022-10-02,00:16:25,88,km,3.8,Ml
73 km al O de Tongoy,-30.213 ,-72.252,2022-10-01,21:01:46,2022-10-02,00:01:46,36,km,2.7,Ml
