evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
45 km al NE de Calama,-22.226 ,-68.585,2022-10-17,17:35:26,2022-10-17,20:35:26,109,km,3.8,Ml
57 km al S de Socaire,-24.098 ,-67.794,2022-10-17,16:53:21,2022-10-17,19:53:21,212,km,2.8,Ml
52 km al E de Los Andes.,-32.629 ,-70.094,2022-10-17,14:41:10,2022-10-17,17:41:10,123,km,3.1,Ml
18 km al E de Antofagasta,-23.670 ,-70.241,2022-10-17,12:41:22,2022-10-17,15:41:22,73,km,3.1,Ml
25 km al SO de Salamanca,-31.987 ,-71.058,2022-10-17,12:00:01,2022-10-17,15:00:01,70,km,2.8,Ml
33 km al O de Los Vilos,-31.787 ,-71.833,2022-10-17,11:46:15,2022-10-17,14:46:15,35,km,2.7,Ml
82 km al SE de Socaire,-24.203 ,-67.442,2022-10-17,11:14:27,2022-10-17,14:14:27,235,km,3.9,Ml
47 km al NE de Calama,-22.152 ,-68.622,2022-10-17,10:58:43,2022-10-17,13:58:43,112,km,2.6,Ml
35 km al SE de Putre,-18.440 ,-69.343,2022-10-17,10:38:24,2022-10-17,13:38:24,122,km,5.1,Mw
50 km al SO de Los Vilos,-32.279 ,-71.822,2022-10-17,10:23:50,2022-10-17,13:23:50,30,km,2.9,Ml
53 km al NE de Calama,-22.122 ,-68.578,2022-10-17,06:03:56,2022-10-17,09:03:56,112,km,2.8,Ml
41 km al N de Pica,-20.136 ,-69.207,2022-10-17,05:09:56,2022-10-17,08:09:56,95,km,2.7,Ml
87 km al S de Alto Hospicio,-21.020 ,-70.333,2022-10-16,23:54:32,2022-10-17,02:54:32,21,km,2.6,Ml
62 km al SE de Socaire,-23.995 ,-67.475,2022-10-16,22:09:40,2022-10-17,01:09:40,259,km,3.5,Ml
37 km al O de Punitaqui,-30.887 ,-71.640,2022-10-16,21:51:22,2022-10-17,00:51:22,39,km,3.8,Ml
34 km al O de Punitaqui,-30.859 ,-71.611,2022-10-16,21:48:44,2022-10-17,00:48:44,25,km,2.6,Ml
