evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
36 km al NE de San Pedro de Atacama,-22.674 ,-67.971,2022-10-27,20:01:30,2022-10-27,23:01:30,196,km,2.6,Ml
78 km al SO de Iquique,-20.587 ,-70.782,2022-10-27,17:28:13,2022-10-27,20:28:13,8,km,3.4,Ml
16 km al S de Pisagua,-19.739 ,-70.214,2022-10-27,16:49:11,2022-10-27,19:49:11,42,km,2.7,Ml
38 km al S de Mina Collahuasi,-21.147 ,-68.786,2022-10-27,16:19:42,2022-10-27,19:19:42,120,km,2.5,Ml
53 km al SE de CamiÃ±a,-19.704 ,-69.144,2022-10-27,13:46:58,2022-10-27,16:46:58,107,km,2.6,Ml
48 km al SO de ConstituciÃ³n,-35.635 ,-72.794,2022-10-27,13:17:36,2022-10-27,16:17:36,25,km,2.5,Ml
39 km al NE de Calama,-22.192 ,-68.697,2022-10-27,11:20:20,2022-10-27,14:20:20,116,km,2.9,Ml
35 km al O de OllagÃ¼e,-21.327 ,-68.575,2022-10-27,10:41:19,2022-10-27,13:41:19,127,km,2.8,Ml
47 km al NE de Calama,-22.120 ,-68.675,2022-10-27,09:26:56,2022-10-27,12:26:56,118,km,2.5,Ml
29 km al NE de Baquedano,-23.216 ,-69.593,2022-10-27,08:50:17,2022-10-27,11:50:17,92,km,3.0,Ml
34 km al SE de Pica,-20.687 ,-69.085,2022-10-27,08:07:00,2022-10-27,11:07:00,100,km,2.6,Ml
57 km al N de Calama,-21.980 ,-68.778,2022-10-27,08:01:25,2022-10-27,11:01:25,113,km,3.5,Ml
35 km al E de Pica,-20.507 ,-68.999,2022-10-27,07:53:52,2022-10-27,10:53:52,110,km,2.7,Ml
33 km al O de OllagÃ¼e,-21.174 ,-68.569,2022-10-27,05:08:18,2022-10-27,08:08:18,130,km,3.0,Ml
11 km al SO de San Antonio,-33.669 ,-71.665,2022-10-27,05:06:52,2022-10-27,08:06:52,45,km,2.9,Ml
123 km al O de BahÃ­a Mansa,-40.563 ,-75.190,2022-10-27,05:01:38,2022-10-27,08:01:38,26,km,3.1,Ml
65 km al SO de Pica,-20.958 ,-69.709,2022-10-27,02:11:52,2022-10-27,05:11:52,56,km,2.8,Ml
68 km al SE de Socaire,-24.028 ,-67.424,2022-10-26,21:23:19,2022-10-27,00:23:19,210,km,3.5,Ml
