evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
19 km al S de Pozo Almonte,-20.425 ,-69.774,2022-10-21,20:46:16,2022-10-21,23:46:16,54,km,3.2,Ml
89 km al SO de Caldera,-27.531 ,-71.560,2022-10-21,16:32:03,2022-10-21,19:32:03,51,km,2.5,Ml
27 km al NE de Linares,-35.626 ,-71.472,2022-10-21,16:22:16,2022-10-21,19:22:16,106,km,2.8,Ml
31 km al S de Mina Collahuasi,-21.090 ,-68.766,2022-10-21,13:22:15,2022-10-21,16:22:15,134,km,3.2,Ml
37 km al O de Ovalle,-30.590 ,-71.592,2022-10-21,12:08:22,2022-10-21,15:08:22,42,km,4.4,Mw
80 km al SO de Alto Hospicio,-20.873 ,-70.520,2022-10-21,11:23:52,2022-10-21,14:23:52,54,km,2.7,Ml
24 km al O de OllagÃ¼e,-21.307 ,-68.469,2022-10-21,11:12:11,2022-10-21,14:12:11,125,km,2.8,Ml
60 km al NE de Vallenar,-28.071 ,-70.537,2022-10-21,10:54:11,2022-10-21,13:54:11,83,km,2.8,Ml
36 km al O de Mina Collahuasi,-20.946 ,-68.982,2022-10-21,10:19:12,2022-10-21,13:19:12,104,km,3.0,Ml
33 km al SE de Putre,-18.466 ,-69.433,2022-10-21,07:53:42,2022-10-21,10:53:42,110,km,4.0,Ml
47 km al SO de Mina Collahuasi,-21.135 ,-68.962,2022-10-21,05:07:36,2022-10-21,08:07:36,105,km,3.3,Ml
60 km al N de Pica,-19.956 ,-69.266,2022-10-21,01:52:20,2022-10-21,04:52:20,87,km,3.1,Ml
70 km al NO de Quillagua,-21.305 ,-70.088,2022-10-21,01:03:49,2022-10-21,04:03:49,45,km,3.0,Ml
116 km al O de Navidad,-33.721 ,-73.052,2022-10-20,23:43:41,2022-10-21,02:43:41,22,km,2.5,Ml
25 km al SE de Temuco,-38.948 ,-72.475,2022-10-20,23:36:52,2022-10-21,02:36:52,53,km,2.7,Ml
112 km al E de Socaire,-23.936 ,-66.860,2022-10-20,23:29:19,2022-10-21,02:29:19,209,km,3.3,Ml
29 km al SO de Los Vilos,-32.102 ,-71.725,2022-10-20,22:48:58,2022-10-21,01:48:58,42,km,3.9,Ml
22 km al NE de Calama,-22.324 ,-68.786,2022-10-20,21:47:06,2022-10-21,00:47:06,94,km,2.5,Ml
15 km al SE de Los Vilos,-31.994 ,-71.391,2022-10-20,21:41:59,2022-10-21,00:41:59,63,km,2.8,Ml
