evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
39 km al O de ConcepciÃ³n,-36.789 ,-73.483,2023-01-15,20:09:39,2023-01-15,23:09:39,21,km,3.5,Mlv
47 km al SE de CamiÃ±a,-19.550 ,-69.051,2023-01-15,19:39:02,2023-01-15,22:39:02,113,km,2.7,M
34 km al NE de ConcepciÃ³n,-36.559 ,-72.872,2023-01-15,15:15:55,2023-01-15,18:15:55,41,km,4.0,Mlv
22 km al NO de Punitaqui,-30.739 ,-71.468,2023-01-15,13:52:02,2023-01-15,16:52:02,37,km,3.8,M
36 km al SE de Linares,-36.121 ,-71.385,2023-01-15,13:32:10,2023-01-15,16:32:10,101,km,3.2,M
33 km al SE de OllagÃ¼e,-21.500 ,-68.130,2023-01-15,13:10:40,2023-01-15,16:10:40,133,km,2.5,Ml
19 km al SO de VichuquÃ©n,-35.012 ,-72.140,2023-01-15,10:33:06,2023-01-15,13:33:06,38,km,2.5,M
63 km al O de Canela Baja,-31.288 ,-72.110,2023-01-15,07:30:20,2023-01-15,10:30:20,47,km,3.0,M
49 km al S de OllagÃ¼e,-21.641 ,-68.396,2023-01-15,07:25:51,2023-01-15,10:25:51,124,km,2.7,M
31 km al O de Ovalle,-30.590 ,-71.530,2023-01-15,06:30:31,2023-01-15,09:30:31,48,km,3.4,M
51 km al O de Mina Collahuasi,-20.941 ,-69.136,2023-01-15,04:40:30,2023-01-15,07:40:30,108,km,2.9,Ml
57 km al S de Alto Hospicio,-20.774 ,-70.012,2023-01-15,03:58:21,2023-01-15,06:58:21,45,km,3.2,Ml
29 km al O de OllagÃ¼e,-21.178 ,-68.530,2023-01-15,03:20:19,2023-01-15,06:20:19,131,km,2.7,Ml
36 km al E de Pica,-20.457 ,-68.984,2023-01-15,02:57:28,2023-01-15,05:57:28,111,km,2.8,Ml
69 km al SO de OllagÃ¼e,-21.764 ,-68.581,2023-01-15,01:24:39,2023-01-15,04:24:39,146,km,3.0,Ml
