evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
43 km al SO de OllagÃ¼e,-21.568 ,-68.441,2023-01-23,19:47:25,2023-01-23,22:47:25,120,km,3.0,Ml
45 km al SO de Tongoy,-30.616 ,-71.708,2023-01-23,19:35:22,2023-01-23,22:35:22,40,km,4.5,Ml
64 km al O de ChaÃ±aral.,-26.286 ,-71.264,2023-01-23,18:20:54,2023-01-23,21:20:54,29,km,2.8,Ml
17 km al NE de Pica,-20.410 ,-69.192,2023-01-23,15:49:57,2023-01-23,18:49:57,104,km,2.7,Ml
16 km al NO de Ovalle,-30.514 ,-71.331,2023-01-23,15:07:30,2023-01-23,18:07:30,66,km,3.1,Ml
49 km al O de Punitaqui,-30.666 ,-71.738,2023-01-23,13:12:43,2023-01-23,16:12:43,34,km,2.5,Ml
19 km al NO de Punitaqui,-30.733 ,-71.423,2023-01-23,13:00:26,2023-01-23,16:00:26,48,km,3.3,Ml
53 km al S de CamiÃ±a,-19.782 ,-69.357,2023-01-23,12:39:43,2023-01-23,15:39:43,89,km,2.5,Ml
46 km al O de Punitaqui,-30.671 ,-71.705,2023-01-23,12:10:03,2023-01-23,15:10:03,38,km,2.8,Ml
65 km al SO de Mina La Escondida.,-24.609 ,-69.585,2023-01-23,11:19:31,2023-01-23,14:19:31,63,km,3.1,Ml
89 km al SO de Tongoy,-30.771 ,-72.201,2023-01-23,10:57:32,2023-01-23,13:57:32,33,km,2.6,Ml
76 km al SE de Socaire,-24.128 ,-67.431,2023-01-23,10:54:03,2023-01-23,13:54:03,211,km,2.7,Ml
47 km al O de Punitaqui,-30.659 ,-71.711,2023-01-23,10:07:01,2023-01-23,13:07:01,29,km,2.6,Ml
33 km al O de Punitaqui,-30.820 ,-71.600,2023-01-23,08:13:35,2023-01-23,11:13:35,31,km,2.5,Ml
39 km al SO de Mina Collahuasi,-21.049 ,-68.950,2023-01-23,07:40:00,2023-01-23,10:40:00,109,km,2.9,Ml
35 km al N de Calama,-22.158 ,-68.966,2023-01-23,06:18:17,2023-01-23,09:18:17,106,km,2.6,Ml
106 km al SE de Socaire,-24.177 ,-67.066,2023-01-23,01:41:46,2023-01-23,04:41:46,181,km,3.0,Ml
28 km al O de Mina Collahuasi,-20.746 ,-68.911,2023-01-23,01:24:28,2023-01-23,04:24:28,106,km,2.6,Ml
16 km al S de Punitaqui,-30.972 ,-71.279,2023-01-23,00:45:59,2023-01-23,03:45:59,64,km,2.8,Ml
47 km al SE de Socaire,-23.945 ,-67.641,2023-01-22,23:46:26,2023-01-23,02:46:26,230,km,3.3,Ml
