evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
42 km al SO de Mina Collahuasi,-21.090 ,-68.954,2022-12-05,20:55:45,2022-12-05,23:55:45,120,km,2.7,Ml
32 km al SO de La Higuera,-29.663 ,-71.480,2022-12-05,19:24:39,2022-12-05,22:24:39,69,km,2.8,Ml
39 km al E de La Higuera,-29.570 ,-70.805,2022-12-05,18:40:12,2022-12-05,21:40:12,90,km,2.7,Ml
65 km al N de Tocopilla,-21.544 ,-70.420,2022-12-05,18:38:08,2022-12-05,21:38:08,15,km,2.8,Ml
49 km al SE de Socaire,-23.904 ,-67.558,2022-12-05,18:08:09,2022-12-05,21:08:09,246,km,3.5,Ml
17 km al SE de Vallenar,-28.671 ,-70.627,2022-12-05,18:06:00,2022-12-05,21:06:00,102,km,2.8,Ml
67 km al SO de OllagÃ¼e,-21.707 ,-68.648,2022-12-05,18:04:38,2022-12-05,21:04:38,137,km,2.6,Ml
52 km al SE de Socaire,-23.959 ,-67.580,2022-12-05,15:33:36,2022-12-05,18:33:36,220,km,3.3,Ml
133 km al O de Puerto AysÃ©n,-45.175 ,-74.366,2022-12-05,12:07:13,2022-12-05,15:07:13,48,km,2.6,Ml
54 km al SE de Socaire,-24.044 ,-67.697,2022-12-05,11:39:06,2022-12-05,14:39:06,249,km,2.9,Ml
64 km al NO de Tocopilla,-21.569 ,-70.446,2022-12-05,06:28:12,2022-12-05,09:28:12,22,km,2.8,Ml
23 km al E de Los Vilos,-31.896 ,-71.271,2022-12-05,06:10:00,2022-12-05,09:10:00,52,km,2.7,Ml
30 km al O de OllagÃ¼e,-21.175 ,-68.536,2022-12-05,05:36:31,2022-12-05,08:36:31,144,km,3.0,Ml
80 km al NE de San Pedro de Atacama,-22.289 ,-67.816,2022-12-05,03:12:48,2022-12-05,06:12:48,199,km,3.6,Ml
65 km al N de Mina Collahuasi,-20.248 ,-68.718,2022-12-05,02:34:06,2022-12-05,05:34:06,123,km,2.6,Ml
8 km al NE de ConcepciÃ³n,-36.770 ,-72.992,2022-12-05,01:15:58,2022-12-05,04:15:58,9,km,2.8,Ml
80 km al S de Socaire,-24.307 ,-67.841,2022-12-05,00:45:42,2022-12-05,03:45:42,223,km,3.4,Ml
