evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
73 km al SE de Socaire,-23.944 ,-67.284,2022-12-30,19:35:27,2022-12-30,22:35:27,238,km,4.0,Ml
45 km al SO de OllagÃ¼e,-21.397 ,-68.643,2022-12-30,19:28:29,2022-12-30,22:28:29,124,km,2.6,Ml
22 km al E de Calama,-22.449 ,-68.715,2022-12-30,18:53:23,2022-12-30,21:53:23,129,km,2.5,Ml
23 km al NO de Punitaqui,-30.699 ,-71.439,2022-12-30,18:37:14,2022-12-30,21:37:14,48,km,3.7,Ml
66 km al NE de Calama,-21.967 ,-68.586,2022-12-30,17:40:20,2022-12-30,20:40:20,135,km,2.6,Ml
120 km al E de Alto del Carmen,-28.630 ,-69.265,2022-12-30,16:58:50,2022-12-30,19:58:50,113,km,3.0,Ml
40 km al SO de OllagÃ¼e,-21.520 ,-68.475,2022-12-30,16:43:53,2022-12-30,19:43:53,132,km,2.7,Ml
23 km al NO de Villarrica,-39.144 ,-72.430,2022-12-30,14:45:50,2022-12-30,17:45:50,78,km,3.8,Ml
64 km al NE de Socaire,-23.186 ,-67.442,2022-12-30,13:50:46,2022-12-30,16:50:46,270,km,2.8,Ml
125 km al O de Canela Baja,-31.477 ,-72.767,2022-12-30,13:19:02,2022-12-30,16:19:02,16,km,2.8,Ml
81 km al S de Alto Hospicio,-20.958 ,-70.349,2022-12-30,12:24:42,2022-12-30,15:24:42,67,km,2.6,Ml
15 km al NO de Arica,-18.415 ,-70.444,2022-12-30,11:48:08,2022-12-30,14:48:08,40,km,2.8,Ml
23 km al S de Canela Baja,-31.602 ,-71.505,2022-12-30,10:18:17,2022-12-30,13:18:17,40,km,3.1,Ml
55 km al SO de OllagÃ¼e,-21.533 ,-68.667,2022-12-30,10:15:19,2022-12-30,13:15:19,105,km,2.7,Ml
10 km al SE de Santiago,-33.522 ,-70.602,2022-12-30,08:56:36,2022-12-30,11:56:36,85,km,3.2,Ml
11 km al SO de Socaire,-23.636 ,-67.984,2022-12-30,08:39:05,2022-12-30,11:39:05,168,km,2.7,Ml
39 km al E de Los Andes.,-32.732 ,-70.197,2022-12-30,08:17:23,2022-12-30,11:17:23,101,km,2.8,Ml
47 km al E de Ancud,-41.925 ,-73.262,2022-12-30,07:55:22,2022-12-30,10:55:22,65,km,2.5,Ml
11 km al SO de Putre,-18.280 ,-69.617,2022-12-30,07:31:31,2022-12-30,10:31:31,98,km,3.1,Ml
94 km al S de Mina La Escondida.,-25.093 ,-69.252,2022-12-30,07:29:34,2022-12-30,10:29:34,108,km,3.1,Ml
78 km al O de Arica,-18.280 ,-71.027,2022-12-30,06:56:19,2022-12-30,09:56:19,44,km,2.9,Ml
57 km al S de Socaire,-24.099 ,-67.882,2022-12-30,05:02:15,2022-12-30,08:02:15,210,km,2.5,Ml
71 km al S de Socaire,-24.192 ,-67.673,2022-12-30,04:37:10,2022-12-30,07:37:10,236,km,3.0,Ml
61 km al S de Socaire,-24.107 ,-67.689,2022-12-30,04:32:24,2022-12-30,07:32:24,240,km,3.8,Ml
67 km al O de Melinka,-43.666 ,-74.511,2022-12-30,03:09:25,2022-12-30,06:09:25,10,km,2.5,Ml
284 km al O de Puerto AysÃ©n,-45.798 ,-76.311,2022-12-30,02:50:53,2022-12-30,05:50:53,10,km,3.4,Ml
99 km al SE de Antofagasta,-24.470 ,-70.045,2022-12-30,02:47:29,2022-12-30,05:47:29,58,km,4.1,Ml
23 km al NO de Petorca,-32.096 ,-71.093,2022-12-30,02:37:12,2022-12-30,05:37:12,89,km,2.6,Ml
278 km al O de Puerto AysÃ©n,-45.773 ,-76.229,2022-12-30,02:19:19,2022-12-30,05:19:19,10,km,5.3,Mw
35 km al NE de Calama,-22.217 ,-68.721,2022-12-29,23:39:33,2022-12-30,02:39:33,106,km,3.2,Ml
66 km al NO de La Higuera,-28.998 ,-71.532,2022-12-29,23:01:36,2022-12-30,02:01:36,34,km,3.3,Ml
49 km al S de Socaire,-24.024 ,-67.992,2022-12-29,22:54:36,2022-12-30,01:54:36,186,km,3.0,Ml
17 km al S de Tierra Amarilla,-27.637 ,-70.239,2022-12-29,22:49:19,2022-12-30,01:49:19,94,km,4.5,Mw
65 km al NO de La Higuera,-29.005 ,-71.541,2022-12-29,22:48:07,2022-12-30,01:48:07,30,km,2.6,Ml
78 km al SE de Socaire,-24.244 ,-67.601,2022-12-29,22:34:34,2022-12-30,01:34:34,220,km,2.6,Ml
46 km al S de Mina Collahuasi,-21.235 ,-68.749,2022-12-29,22:11:09,2022-12-30,01:11:09,116,km,3.1,Ml
72 km al E de Mina La Escondida.,-24.148 ,-68.358,2022-12-29,22:04:34,2022-12-30,01:04:34,283,km,3.2,Ml
68 km al O de Tongoy,-30.360 ,-72.195,2022-12-29,21:29:08,2022-12-30,00:29:08,32,km,2.8,Ml
29 km al S de OllagÃ¼e,-21.485 ,-68.243,2022-12-29,21:21:03,2022-12-30,00:21:03,133,km,2.9,Ml
