evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
86 km al SE de Socaire,-24.271 ,-67.486,2022-12-07,20:11:39,2022-12-07,23:11:39,224,km,3.2,Ml
111 km al SO de Tongoy,-30.741 ,-72.504,2022-12-07,19:22:53,2022-12-07,22:22:53,47,km,2.9,Ml
30 km al O de OllagÃ¼e,-21.170 ,-68.536,2022-12-07,17:12:59,2022-12-07,20:12:59,124,km,3.4,Ml
62 km al S de Socaire,-24.120 ,-67.715,2022-12-07,16:46:15,2022-12-07,19:46:15,227,km,3.4,Ml
44 km al O de OllagÃ¼e,-21.357 ,-68.658,2022-12-07,16:22:46,2022-12-07,19:22:46,109,km,2.5,Ml
52 km al O de Quillagua,-21.525 ,-70.017,2022-12-07,16:00:11,2022-12-07,19:00:11,36,km,2.5,Ml
63 km al SE de Socaire,-23.897 ,-67.373,2022-12-07,12:30:13,2022-12-07,15:30:13,250,km,2.8,Ml
48 km al NO de Tongoy,-29.983 ,-71.879,2022-12-07,11:34:47,2022-12-07,14:34:47,20,km,2.7,Ml
33 km al S de Mina Collahuasi,-21.122 ,-68.612,2022-12-07,10:39:07,2022-12-07,13:39:07,117,km,2.6,Ml
39 km al N de Cabrero,-36.697 ,-72.533,2022-12-07,09:36:43,2022-12-07,12:36:43,60,km,2.9,Ml
34 km al SO de Mina Collahuasi,-21.081 ,-68.838,2022-12-07,09:04:54,2022-12-07,12:04:54,118,km,3.0,Ml
30 km al SO de Linares,-36.049 ,-71.817,2022-12-07,08:09:29,2022-12-07,11:09:29,84,km,2.8,Ml
63 km al S de Socaire,-24.141 ,-68.040,2022-12-07,07:18:58,2022-12-07,10:18:58,225,km,3.1,Ml
69 km al SE de Socaire,-24.033 ,-67.412,2022-12-07,06:49:32,2022-12-07,09:49:32,258,km,3.5,Ml
38 km al SE de Alto del Carmen,-29.011 ,-70.225,2022-12-07,04:10:17,2022-12-07,07:10:17,101,km,2.9,Ml
44 km al SO de Canela Baja,-31.610 ,-71.851,2022-12-07,03:06:38,2022-12-07,06:06:38,32,km,3.1,Ml
27 km al NE de Calama,-22.248 ,-68.824,2022-12-07,02:05:25,2022-12-07,05:05:25,105,km,2.9,Ml
44 km al O de Punitaqui,-30.707 ,-71.693,2022-12-07,01:27:42,2022-12-07,04:27:42,33,km,3.3,Ml
16 km al O de Calama,-22.476 ,-69.087,2022-12-06,22:29:46,2022-12-07,01:29:46,93,km,2.7,Ml
38 km al NO de Futrono,-39.957 ,-72.771,2022-12-06,22:29:24,2022-12-07,01:29:24,82,km,3.2,Ml
