evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
9 km al SO de Monte Patria,-30.770 ,-71.002,2022-12-16,20:29:32,2022-12-16,23:29:32,76,km,3.3,Ml
32 km al SO de OllagÃ¼e,-21.461 ,-68.428,2022-12-16,19:33:04,2022-12-16,22:33:04,136,km,2.6,Ml
35 km al SO de Huasco,-28.720 ,-71.433,2022-12-16,17:07:05,2022-12-16,20:07:05,15,km,3.9,Ml
39 km al N de VicuÃ±a,-29.682 ,-70.684,2022-12-16,15:25:30,2022-12-16,18:25:30,85,km,2.5,Ml
93 km al S de Mina La Escondida.,-25.098 ,-69.138,2022-12-16,15:21:19,2022-12-16,18:21:19,114,km,2.8,Ml
40 km al NO de Mina Collahuasi,-20.594 ,-68.952,2022-12-16,15:05:46,2022-12-16,18:05:46,105,km,2.8,Ml
28 km al NO de La Ligua,-32.251 ,-71.410,2022-12-16,10:55:11,2022-12-16,13:55:11,55,km,3.8,Ml
7 km al S de San Pedro de Atacama,-22.981 ,-68.176,2022-12-16,06:20:08,2022-12-16,09:20:08,184,km,2.8,Ml
18 km al S de Canela Baja,-31.559 ,-71.507,2022-12-16,05:25:30,2022-12-16,08:25:30,46,km,3.5,Ml
105 km al SE de Socaire,-24.105 ,-67.022,2022-12-16,04:50:14,2022-12-16,07:50:14,214,km,3.7,Ml
71 km al S de Socaire,-24.189 ,-67.648,2022-12-16,04:45:26,2022-12-16,07:45:26,224,km,3.3,Ml
43 km al SE de Pica,-20.841 ,-69.153,2022-12-16,04:03:54,2022-12-16,07:03:54,111,km,2.8,Ml
28 km al O de La Higuera,-29.559 ,-71.485,2022-12-16,01:46:36,2022-12-16,04:46:36,68,km,4.2,Ml
49 km al E de OllagÃ¼e,-21.150 ,-67.791,2022-12-16,01:37:59,2022-12-16,04:37:59,214,km,3.3,Ml
27 km al S de Mina Collahuasi,-21.065 ,-68.632,2022-12-16,01:20:34,2022-12-16,04:20:34,118,km,2.6,Ml
44 km al NE de Calama,-22.171 ,-68.656,2022-12-15,23:02:48,2022-12-16,02:02:48,111,km,2.7,Ml
77 km al NO de Quillagua,-21.164 ,-70.057,2022-12-15,22:30:15,2022-12-16,01:30:15,50,km,2.9,Ml
