evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
146 km al O de Ancud,-41.393 ,-75.464,2022-09-23,19:53:28,2022-09-23,22:53:28,14,km,6.0,Mww
37 km al NO de Mina Collahuasi,-20.537 ,-68.829,2022-09-23,19:33:11,2022-09-23,22:33:11,101,km,2.9,Ml
27 km al NO de Mina Collahuasi,-20.700 ,-68.880,2022-09-23,19:02:25,2022-09-23,22:02:25,96,km,2.6,Ml
59 km al NO de Cobquecura,-35.666 ,-73.114,2022-09-23,18:53:20,2022-09-23,21:53:20,37,km,2.8,Ml
46 km al O de OllagÃ¼e,-21.279 ,-68.691,2022-09-23,18:14:07,2022-09-23,21:14:07,114,km,3.1,Ml
61 km al NO de La Higuera,-29.006 ,-71.450,2022-09-23,17:17:05,2022-09-23,20:17:05,41,km,4.7,Mw
37 km al N de Pica,-20.171 ,-69.228,2022-09-23,11:42:12,2022-09-23,14:42:12,89,km,2.5,Ml
39 km al NE de Pica,-20.174 ,-69.173,2022-09-23,10:11:26,2022-09-23,13:11:26,99,km,3.4,Ml
33 km al S de Mina Collahuasi,-21.112 ,-68.742,2022-09-23,08:37:07,2022-09-23,11:37:07,108,km,2.7,Ml
25 km al NO de Petorca,-32.136 ,-71.157,2022-09-23,07:59:06,2022-09-23,10:59:06,69,km,3.0,Ml
25 km al E de Sierra Gorda.,-22.860 ,-69.079,2022-09-23,06:59:28,2022-09-23,09:59:28,96,km,3.0,Ml
33 km al N de Socaire,-23.309 ,-67.991,2022-09-23,04:49:18,2022-09-23,07:49:18,180,km,4.7,Mw
51 km al SO de Mina Collahuasi,-21.234 ,-68.887,2022-09-23,01:37:43,2022-09-23,04:37:43,115,km,2.5,Ml
29 km al O de OllagÃ¼e,-21.155 ,-68.523,2022-09-22,23:44:56,2022-09-23,02:44:56,139,km,2.6,Ml
150 km al O de ToltÃ©n,-39.357 ,-74.888,2022-09-22,22:50:36,2022-09-23,01:50:36,35,km,3.9,Ml
82 km al O de Arica,-18.696 ,-71.065,2022-09-22,22:39:37,2022-09-23,01:39:37,30,km,3.7,Ml
60 km al N de Calama,-21.934 ,-68.869,2022-09-22,21:28:40,2022-09-23,00:28:40,119,km,4.5,Mw
